SKILL_20150317_000001	攻击
SKILL_20150317_001619	Ignite
SKILL_20150317_001620	火 lit up because of the oil buried.
SKILL_20150317_001621	Aftereffects of resurrection
SKILL_20150317_001622	Atereffect of revivial. Most combat skills 减少.
SKILL_20150317_001623	增加 移动速度
SKILL_20150317_001624	增加 移动速度.
SKILL_20150317_001625	Shock wave
SKILL_20150317_001626	火
SKILL_20150317_001627	Receive 火伤害 periodically.
SKILL_20150317_001628	Hold
SKILL_20150317_001629	Unmovable.
SKILL_20150317_001630	Fixed 移动速度
SKILL_20150317_001631	Darkness
SKILL_20150317_001632	Field of vision interfered.
SKILL_20150317_001633	Fraud buff
SKILL_20150317_001634	攻击 增加.
SKILL_20150317_001635	Deadly poison
SKILL_20150317_001636	Receive 毒 伤害 periodically.
SKILL_20150317_001637	Contagious deadly poison
SKILL_20150317_001638	攻击 reduction. Periodically receive the 毒 伤害. The effect is transfered to targets around.
SKILL_20150317_001639	Evasion
SKILL_20150317_001640	Evasion.
SKILL_20150317_001641	Defense Shock
SKILL_20150317_001642	Blocked by 敌人 以及 fall in to shock state. Chance of 敌人 攻击 to hit critical will 增加 by100%.
SKILL_20150317_001643	Petrify
SKILL_20150317_001644	Petrified.
SKILL_20150317_001645	强化 patience
SKILL_20150317_001646	伤害 received 减少 by 20%
SKILL_20150317_001647	Burning Flame
SKILL_20150317_001648	Track 以及 explode 敌人.
SKILL_20150317_001649	Snowstorm.
SKILL_20150317_001650	Trigger chill
SKILL_20150317_001651	Cold air 攻击 force 增加.
SKILL_20150317_001652	Burn
SKILL_20150317_001653	Calm
SKILL_20150317_001654	Calm down 以及 stop moving.
SKILL_20150317_001655	Addiction
SKILL_20150317_001656	攻击 is 增加d while defense is reduced.
SKILL_20150317_001657	Transparent
SKILL_20150317_001658	Transparent state.
SKILL_20150317_001659	Recover HP every 3 秒.
SKILL_20150317_001660	monster Hold
SKILL_20150317_001661	Monster hold script link
SKILL_20150317_001662	攻击 增加
SKILL_20150317_001663	攻击 以及 evasion 减少
SKILL_20150317_001664	增加 SP, Stamina
SKILL_20150317_001665	Amount of SP,stamina recoved 增加
SKILL_20150317_001666	Defense 以及 攻击 will be reduced.
SKILL_20150317_001667	Rage
SKILL_20150317_001668	It becomes angry state. Intelligence 以及 物理防御, 魔法防御 force is reduced, strength, 物理 攻击, 移动速度 will 增加.
SKILL_20150317_001669	Curse target.
SKILL_20150317_001670	Natural 恢复 impossible, 魔法防御 减少.
SKILL_20150317_001671	Aurora of Addiction
SKILL_20150317_001672	Spread 毒 to 敌人 around. Running 以及 item usage is limited.
SKILL_20150317_001673	Growth
SKILL_20150317_001674	Confusion
SKILL_20150317_001675	Can't distinguish friend 以及 foe.
SKILL_20150317_001676	Stiffen
SKILL_20150317_001677	Player RAISEUP
SKILL_20150317_001678	攻击 is 增加d while defense is decreasd whenever 攻击ed by the 敌人.
SKILL_20150317_001679	Frozen
SKILL_20150317_001680	Actor Frozen
SKILL_20150317_001681	Destroy Camp
SKILL_20150317_001682	Defense 减少.
SKILL_20150317_001683	Suction
SKILL_20150317_001684	Reflection
SKILL_20150317_001685	Adding skills
SKILL_20150317_001686	Sacrifice
SKILL_20150317_001687	Exchange life
SKILL_20150317_001688	Exchange HP 以及 SP, generate defense shield 50% of MHP for 10 秒.
SKILL_20150317_001689	Stop
SKILL_20150317_001690	增加 移动速度
SKILL_20150317_001691	Significantly 增加 移动速度
SKILL_20150317_001692	Ion
SKILL_20150317_001693	伤害 surroundings except target
SKILL_20150317_001694	Additional 伤害 according to the number 攻击 by target while buff is enabled.
SKILL_20150317_001695	Destroy Armor
SKILL_20150317_001696	Defense will 减少 to zero.
SKILL_20150317_001697	伤害 Debuff
SKILL_20150317_001698	take 伤害 at the time the buff ends
SKILL_20150317_001699	Hide character (for video)
SKILL_20150317_001700	Capture 敌人 with Telekinesis
SKILL_20150317_001701	A state of being caught by telekinesis
SKILL_20150317_001702	反射盾
SKILL_20150317_001703	Reflect all 攻击 for a certain time.
SKILL_20150317_001704	FeverTime! 攻击 增加 by 5 per combo
SKILL_20150317_001705	Fear 以及 confusion occurs
SKILL_20150317_001706	Effect of Flu Flu
SKILL_20150317_001707	Fear occurrence
SKILL_20150317_001708	Oil stains
SKILL_20150317_001709	You'll be in big trouble if 攻击ed with 火 属性 攻击.
SKILL_20150317_001710	移动速度 is 增加d,
SKILL_20150317_001711	圣 Aura
SKILL_20150317_001712	Spread the new buff received to allies
SKILL_20150317_001713	Fog
SKILL_20150317_001714	减少 accuracy.
SKILL_20150317_001715	Hide Box
SKILL_20150317_001716	Hiding in the box.
SKILL_20150317_001717	Bleeding.
SKILL_20150317_001718	Parrying
SKILL_20150317_001719	移动速度 is reduced.
SKILL_20150317_001720	STR 以及 INT 增加 when killing 敌人 in this state
SKILL_20150317_001721	攻击 will 增加.
SKILL_20150317_001722	Defense 增加.
SKILL_20150317_001723	Great Bear camp
SKILL_20150317_001724	Provoke
SKILL_20150317_001725	During each 攻击, their threat level will 增加.
SKILL_20150317_001726	Hooked to 敌人's provocation!
SKILL_20150317_001727	Defense 减少.
SKILL_20150317_001728	Receive 伤害 after a while
SKILL_20150317_001729	Continiously receiving 火 伤害.
SKILL_20150317_001730	Party members of the force status will 增加 close.
SKILL_20150317_001731	移动速度 以及 the max. HP of party members will 增加.
SKILL_20150317_001732	火柱
SKILL_20150317_001733	Blinded.
SKILL_20150317_001734	Infection
SKILL_20150317_001735	Infected.
SKILL_20150317_001736	Movement Disable
SKILL_20150317_001737	Cannot move.
SKILL_20150317_001738	减少 移动速度
SKILL_20150317_001739	Bleeding Poison
SKILL_20150317_001740	Receiving additional 物理 伤害.
SKILL_20150317_001741	Neurotoxin
SKILL_20150317_001742	Receiving additional 魔法 伤害.
SKILL_20150317_001743	Strike vital spot
SKILL_20150317_001744	Recover HP.
SKILL_20150317_001745	Receive 圣 伤害.
SKILL_20150317_001746	Bless
SKILL_20150317_001747	Agile status will 增加.
SKILL_20150317_001748	Defense 减少.
SKILL_20150317_001749	Sequentially heal all abnormal state.
SKILL_20150317_001750	Continuously receiving 圣 伤害.
SKILL_20150317_001751	HP 恢复 speed is improved.
SKILL_20150317_001752	圣 水 baptism
SKILL_20150317_001753	Grant 圣 attribute 攻击
SKILL_20150317_001754	Limitation
SKILL_20150317_001755	Max. strength 增加 temporarily
SKILL_20150317_001756	Venom
SKILL_20150317_001757	Buff 持续时间 of allies will stop.
SKILL_20150317_001758	伤害 敌人 under Hexing state.
SKILL_20150317_001759	Paralyzed.
SKILL_20150317_001760	Light of life
SKILL_20150317_001761	Swell Body state.
SKILL_20150317_001762	Reflect all 攻击.
SKILL_20150317_001763	减少 移动速度
SKILL_20150317_001764	Divine Aura
SKILL_20150317_001765	物理, 魔法防御 增加
SKILL_20150317_001766	Arm became bigger.
SKILL_20150317_001767	Round 以及 round
SKILL_20150317_001768	All around
SKILL_20150317_001769	攻击 disabled state
SKILL_20150317_001770	Reward
SKILL_20150317_001771	Your threat level will 增加.
SKILL_20150317_001772	Round 以及 round
SKILL_20150317_001773	Raise up the shield.
SKILL_20150317_001774	HP Aurora
SKILL_20150317_001775	HP 恢复 is improved.
SKILL_20150317_001776	Size has shrinked.
SKILL_20150317_001777	Parrot
SKILL_20150317_001778	Ignore evasion of 敌人 but chance of critical 以及 critical evasion is 减少d.
SKILL_20150317_001779	增加 knockdown power
SKILL_20150317_001780	Time is stopped.
SKILL_20150317_001781	Max. strength is reduced, 攻击 will 增加
SKILL_20150317_001782	攻击 伤害 增加
SKILL_20150317_001783	Resisting to knock down 以及 knock back.
SKILL_20150317_001784	You can see the hidden 敌人.
SKILL_20150317_001785	Throw Equipment
SKILL_20150317_001786	Threw equipment.
SKILL_20150317_001787	Hide left hand equipment
SKILL_20150317_001788	Hide Left-hand equipment
SKILL_20150317_001789	Hide right hand equipment
SKILL_20150317_001790	Hide Right-hand equipment
SKILL_20150317_001791	敌人 is pinned on the spear.
SKILL_20150317_001792	Pinned to spear.
SKILL_20150317_001793	Revive as zombie if defeatd.
SKILL_20150317_001794	HP 减少 continuously.
SKILL_20150317_001795	Explode the zombies.
SKILL_20150317_001796	范围 以及 ttack will 增加.
SKILL_20150317_001797	Swift step
SKILL_20150317_001798	移动速度 增加 slightly during 攻击.
SKILL_20150317_001799	Receive 火 伤害.
SKILL_20150317_001800	Splash will 增加.
SKILL_20150317_001801	SP consumption is reduced.
SKILL_20150317_001802	增加 chance of critical, 减少 evasion
SKILL_20150317_001803	Perspective distortion occurs
SKILL_20150317_001804	Divine Might
SKILL_20150317_001805	Skill level 增加 temporarily.
SKILL_20150317_001806	Power of the next skill 减少.
SKILL_20150317_001807	攻击 force of skill used next will 增加.
SKILL_20150317_001808	Hidden.
SKILL_20150317_001809	Reduce skill cooltime.
SKILL_20150317_001810	Defense, block probability will 增加.
SKILL_20150317_001811	Cancel Sub Weapon
SKILL_20150317_001812	催眠ing.
SKILL_20150317_001813	刺击 attribute 攻击 is 强化d.
SKILL_20150317_001814	Defense 以及 evasion is reduced.
SKILL_20150317_001815	Casting skills when using casting will not be canceled.
SKILL_20150317_001816	Casting speed of the next casting skill becomes faster.
SKILL_20150317_001817	Shock
SKILL_20150317_001818	Intelligence, spirit is reduced.
SKILL_20150317_001819	Critical 攻击 增加
SKILL_20150317_001820	Critical 抗性 减少
SKILL_20150317_001821	Divine Stigma buff
SKILL_20150317_001822	Status 增加d.
SKILL_20150317_001823	HP is restore while activated.
SKILL_20150317_001824	Reborn if defeated.
SKILL_20150317_001825	攻击速度will 增加.
SKILL_20150317_001826	Moving Shot on
SKILL_20150317_001827	Using moving 攻击.
SKILL_20150317_001828	In silence.
SKILL_20150317_001829	Change INT 以及 CON stats.
SKILL_20150317_001830	Number of buff you can receive will 增加.
SKILL_20150317_001831	攻击 is 增加d, 攻击速度is reduced.
SKILL_20150317_001832	冰 Blast
SKILL_20150317_001833	Receive 冰 属性 伤害.
SKILL_20150317_001834	增加 火, 冰, Lightning 抗性.
SKILL_20150317_001835	Converted.
SKILL_20150317_001836	Demon type monster will die instantly.
SKILL_20150317_001837	强化 攻击
SKILL_20150317_001838	攻击 增加 temporarily
SKILL_20150317_001839	增加 Critical once
SKILL_20150317_001840	Critical rate of next 攻击 增加..
SKILL_20150317_001841	增加 defense
SKILL_20150317_001842	Strength 减少
SKILL_20150317_001843	Strength 减少
SKILL_20150317_001844	Divineness
SKILL_20150317_001845	Add 圣 攻击
SKILL_20150317_001846	Reduce defense
SKILL_20150317_001847	Agility is temporarily 增加d significantly
SKILL_20150317_001848	Spirit 攻击: defense 减少
SKILL_20150317_001849	Flame 攻击 增加.
SKILL_20150317_001850	增加 穿刺 伤害
SKILL_20150317_001851	火焰附魔
SKILL_20150317_001852	火 抗性 has 减少d.
SKILL_20150317_001853	火 攻击 force 增加.
SKILL_20150317_001854	Rage
SKILL_20150317_001855	伤害 增加, sp consumption 增加
SKILL_20150317_001856	Hangmans Knot : Splash
SKILL_20150317_001857	Charging - evasion
SKILL_20150317_001858	Gravity Pole: 减少 Defense
SKILL_20150317_001859	Release from poisoned state.
SKILL_20150317_001860	Needle Blow Poison
SKILL_20150317_001861	Continuously receive 毒 伤害.
SKILL_20150317_001862	Make 敌人 under 毒 become confused.
SKILL_20150317_001863	Gohan Venom
SKILL_20150317_001864	Pull down flying obejct
SKILL_20150317_001865	Pull down flight type monsters.
SKILL_20150317_001866	Unbalance
SKILL_20150317_001867	敌人 become defenseless 以及 vulnerable to knock down 攻击.
SKILL_20150317_001868	敌人's companion bites 以及 holds. Become vulnerable to arrow 攻击.
SKILL_20150317_001869	Defense 增加 while 攻击 减少.
SKILL_20150317_001870	Become vulnerable to 长矛刺击 攻击.
SKILL_20150317_001871	Play the flute.
SKILL_20150317_001872	Whistle.. Somehow I want to follow it
SKILL_20150317_001873	Murmillo
SKILL_20150317_001874	In Stance switching state.
SKILL_20150317_001875	Level up
SKILL_20150317_001876	敌人 of the companion is gazing. It is disturbing.
SKILL_20150317_001877	Clone
SKILL_20150317_001878	Big Head
SKILL_20150317_001879	Head is enlarged...
SKILL_20150317_001880	Receiving stats.
SKILL_20150317_001881	Status transfer state.
SKILL_20150317_001882	STR, CON, INT, SPR, DEX 减少.
SKILL_20150317_001883	Trap
SKILL_20150317_001884	Cannot move 以及 receive continuous 伤害.
SKILL_20150317_001885	Bomb explodes 以及 inflicts 伤害 around
SKILL_20150317_001886	Basic 攻击 applies continuously.
SKILL_20150317_001887	Max. SP 以及 max. STA 增加
SKILL_20150317_001888	Invalid 魔法 以及 remove debuff
SKILL_20150317_001889	Companion follows 以及 bugs 敌人.
SKILL_20150317_001890	The defend 敌人 攻击.
SKILL_20150317_001891	Companion follows hidden 敌人.
SKILL_20150317_001892	增加 Strength
SKILL_20150317_001893	Strength 增加
SKILL_20150317_001894	增加 HP
SKILL_20150317_001895	增加 CON
SKILL_20150317_001896	增加 INT
SKILL_20150317_001897	增加 Intelligence
SKILL_20150317_001898	增加 DEX
SKILL_20150317_001899	Agility is 增加d
SKILL_20150317_001900	Power of destruction
SKILL_20150317_001901	Power of the guardian
SKILL_20150317_001902	增加 defense
SKILL_20150317_001903	Super mario
SKILL_20150317_001904	Super Mario buff
SKILL_20150317_001905	Purification of Goddess
SKILL_20150317_001906	Loss ability to 攻击
SKILL_20150317_001907	SP 恢复
SKILL_20150317_001908	SP 恢复
SKILL_20150317_001909	HP 恢复
SKILL_20150317_001910	HP 恢复
SKILL_20150317_001911	Medusa
SKILL_20150317_001912	STA will not be consumed for a certain time.
SKILL_20150317_001913	Power of Cafrisun
SKILL_20150317_001914	Inflict 12 Additional 地属性 攻击
SKILL_20150317_001915	HP, SP, STA 恢复 amount 以及 speed will 增加 增加
SKILL_20150317_001916	Recover HP per second. Total 500 HP for 5 秒.
SKILL_20150317_001917	HP SP 恢复
SKILL_20150317_001918	HP, SP 恢复
SKILL_20150317_001919	Reuse waiting time 减少 by 50%
SKILL_20150317_001920	Gaigalas card activated
SKILL_20150317_001921	Continiously receiving 伤害.
SKILL_20150317_001922	Poata card activated
SKILL_20150317_001923	Melinas Sequoia card activated
SKILL_20150317_001924	Zalias Woodspirit card activated
SKILL_20150317_001925	地属性 抗性 will 增加.
SKILL_20150317_001926	Chafer Card activated
SKILL_20150317_001927	Word Pome Nation card activated
SKILL_20150317_001928	攻击 force of mutant monsters will 增加.
SKILL_20150317_001929	Woodspirit card activated
SKILL_20150317_001930	HP will continuously recover.
SKILL_20150317_001931	MagBurk card activated
SKILL_20150317_001932	火 抗性 增加.
SKILL_20150317_001933	Deadborn Card Activated
SKILL_20150317_001934	Denoptic Card activated
SKILL_20150317_001935	Moldyhorn card activated
SKILL_20150317_001936	Tomb Lord card activated
SKILL_20150317_001937	All 抗性 will 增加.
SKILL_20150317_001938	Mushcaria card activated
SKILL_20150317_001939	Ginklas card activated
SKILL_20150317_001940	State of being continuously receiving 伤害.
SKILL_20150317_001941	Velorchard card activated
SKILL_20150317_001942	Evasion will 增加.
SKILL_20150317_001943	Jack-o'-lantern Card activated
SKILL_20150317_001944	Icrease 攻击 against demon type monsters.
SKILL_20150317_001945	Sparnas card activated
SKILL_20150317_001946	Critical 伤害 will 增加.
SKILL_20150317_001947	Rikaus Card activated
SKILL_20150317_001948	SP continuously recover.
SKILL_20150317_001949	Kelberos Card activated
SKILL_20150317_001950	火 属性 攻击 will 增加.
SKILL_20150317_001951	Carapace card activated
SKILL_20150317_001952	Yonazolem card activated
SKILL_20150317_001953	闇属性 攻击 will 增加.
SKILL_20150317_001954	Kepa Chieftain Card activated
SKILL_20150317_001955	Ellaganos card activated
SKILL_20150317_001956	Umbo, Rim 攻击 增加.
SKILL_20150317_001957	Endure
SKILL_20150317_001958	Does not knock down to 敌人 攻击.
SKILL_20150317_001959	Venom of Hydra
SKILL_20150317_001960	Frozen feet
SKILL_20150317_001961	移动速度 is reduced.
SKILL_20150317_001962	Corruption
SKILL_20150317_001963	Reject 魔法
SKILL_20150317_001964	Riding on companion.
SKILL_20150317_001965	Give ride to master
SKILL_20150317_001966	HP Potion Booster
SKILL_20150317_001967	HP potion cooldown is reduced. {Nl} (减少 by 10% per level)
SKILL_20150317_001968	SP Potion Booster
SKILL_20150317_001969	SP potion cooldown 减少. {Nl} (减少 by 10% per level)
SKILL_20150317_001970	剑专精
SKILL_20150317_001971	Handle Sword type items well. {Nl} (伤害 增加 by 5% per level when using Sword type items)
SKILL_20150317_001972	法杖专精
SKILL_20150317_001973	Handle 权杖　type items well. {Nl} (伤害 增加 by 5% per level when using 权杖　type items)
SKILL_20150317_001974	弓专精
SKILL_20150317_001975	handle Bow type items well. {Nl} (伤害 增加 by 5% per level when using Bow type items)
SKILL_20150317_001976	锤专精
SKILL_20150317_001977	handle Mace type items well. {Nl} (伤害 增加 by 5% per level when using Mace type items)
SKILL_20150317_001978	Survival instinct
SKILL_20150317_001979	攻击 增加 when HP is below 40%. {Nl} For Level 1 only. Learn only once!
SKILL_20150317_001980	冰 Spear
SKILL_20150317_001981	攻击 frozen 敌人 with 冰 Bolt for additional 伤害 {Nl} (added by 25% per level)
SKILL_20150317_001982	Blow of Rupture
SKILL_20150317_001983	Chacne of inlficting explosion 伤害 on 敌人 with hit 攻击. {Nl} (triggered at 5% chance per level)
SKILL_20150317_001984	Rupture
SKILL_20150317_001985	伤害 to Chain Armor type will 增加 when using blunt. {Nl} (增加 by 20% per level)
SKILL_20150317_001986	Overcome
SKILL_20150317_001987	Critical probability will 增加 when using sword. {Nl} (增加d by critical rate of 10% per level)
SKILL_20150317_001988	Jump
SKILL_20150317_001989	You can jump. Press the [X] key to jump.
SKILL_20150317_001990	Sidestep
SKILL_20150317_001991	Move sidewards. Press arrow keys while holding down the [Shift] key, to move sidewards. Consumes energy.
SKILL_20150317_001992	Dash
SKILL_20150317_001993	You can run. Press arrow key twice to start the running.
SKILL_20150317_001994	Meditation
SKILL_20150317_001995	SP 恢复 amount 增加. {Nl} (增加d by 1% of the maximum energy level x)
SKILL_20150317_001996	Play
SKILL_20150317_001997	Amount of HP 恢复 增加. {Nl} (增加d by level x 1% of max. HP)
SKILL_20150317_001998	Inspiration
SKILL_20150317_001999	Defense level will 增加. {Nl} (增加d by level x 10)
SKILL_20150317_002000	敌人 hit with strong strike have chance of fainting for 5 秒.
SKILL_20150317_002001	Traverse
SKILL_20150317_002002	Move short distance at high spped. Stamina is consumed. Press arrow key twice to use. -- Squire Characteristic
SKILL_20150317_002003	Lv.1 STA consumption 4
SKILL_20150317_002004	Shield heater
SKILL_20150317_002005	Reflect 攻击 when using skill Parrying. (Reflecting 伤害 增加 in proportion to the defense force 以及 特性等级)
SKILL_20150317_002006	Anger
SKILL_20150317_002007	敌人 is stunned by chance when 攻击ed with Mace item.{nl} (增加 by 10% per level)
SKILL_20150317_002008	Lv.1 Stan probability 10%, 3 秒 持续时间 Lv.2 Stan probability 20%, 4 秒 持续时间 Lv.3 Stan probability 30%, lasts 5 秒
SKILL_20150317_002009	Intuition
SKILL_20150317_002010	Using stab skill to bleeding 敌人 inflicts critical at certain chance. {Nl} (basic 30% +5% added per level)
SKILL_20150317_002011	Cut
SKILL_20150317_002012	After successful overkill, amount of 伤害 doubled for 10 秒 on 1 攻击.
SKILL_20150317_002013	Guard
SKILL_20150317_002014	移动速度 增加 when HP is below 15%
SKILL_20150317_002015	Two-hand Sword Mastery
SKILL_20150317_002016	Mastered weapon. 物理 攻击 will 增加 when using two-hand sword.
SKILL_20150317_002017	Apply # {IncrValue1} #% Lv.1 攻击{nl}Apply # {IncrValue1} #% Lv.2 攻击{nl}Apply # {IncrValue1} #% Lv.3 攻击
SKILL_20150317_002018	Whipping top
SKILL_20150317_002019	Rotation time whirlwind 增加.
SKILL_20150317_002020	Lv.1 旋转 time + # {IncrValue1} # 秒 {nl} Lv.2 旋转 time + # {IncrValue1} # 秒
SKILL_20150317_002021	Nether web
SKILL_20150317_002022	Number of hold 攻击 using Telekinesis 增加. {Nl} (增加 as much as level)
SKILL_20150317_002023	Ignite
SKILL_20150317_002024	Amount of 伤害 is doubled when 攻击ing 敌人 under Slow with 火球.
SKILL_20150317_002025	Add chance of Stan for Spear Blow skill{Nl} (增加 by 5% per level)
SKILL_20150317_002026	Surprise 攻击
SKILL_20150317_002027	Have chance of inflicting additional 伤害 when 攻击ing stunned 敌人. {Nl} (basic 30% + 5% added per level)
SKILL_20150317_002028	Concentration
SKILL_20150317_002029	Critical is applied at certain chance when 攻击ing 敌人 near the farthest range. {Nl} (50% of basic + 5% added per level)
SKILL_20150317_002030	Self Vitality
SKILL_20150317_002031	Potion buff 持续时间 增加. {Nl} (增加 by 5% per level)
SKILL_20150317_002032	Strike
SKILL_20150317_002033	敌人 knocked back is knocked back again 以及 receives additional 伤害.
SKILL_20150317_002034	Nanta
SKILL_20150317_002035	Reduce knock back range of monsters when using whirlwind.
SKILL_20150317_002036	STR 增加. Affect melee 攻击.
SKILL_20150317_002037	Agility is 增加d. Affects ranged 物理 攻击, chance of critical, 以及 evasion.
SKILL_20150317_002038	物理 strength ability value will improve. It will affect the maximum value of the life force 以及 energy.
SKILL_20150317_002039	增加 INT
SKILL_20150317_002040	Intelligence 增加. Affect the max SPR 以及 魔法 攻击.
SKILL_20150317_002041	Balance
SKILL_20150317_002042	奋起 skills 抗性 probability 增加. {Nl} (增加 by 5% per level)
SKILL_20150317_002043	Smash
SKILL_20150317_002044	Umbo Blow skill knock down power 增加. {Nl} (增加d by 50 per level)
SKILL_20150317_002045	Sharp spear head
SKILL_20150317_002046	Add chance of Bleed for Spear Blow skill{Nl} (增加 by 5% per level)
SKILL_20150317_002047	Wire rope
SKILL_20150317_002048	Centrifugal force
SKILL_20150317_002049	Tricks
SKILL_20150317_002050	Shiver
SKILL_20150317_002051	[Swoosh buckling] critical occurrence of skill will 增加 {nl} (1% 增加 for each level)
SKILL_20150317_002052	刺击: knock back distance
SKILL_20150317_002053	Pushing force of [刺击] 增加 by 50 每特性等级.
SKILL_20150317_002054	刺击: Continuous 攻击
SKILL_20150317_002055	Trigger continuous 攻击 when using [刺击] at 1% chance 每特性等级.
SKILL_20150317_002056	狂击: Splash
SKILL_20150317_002057	Splash is 增加d by 1 每特性等级 in [狂击].
SKILL_20150317_002058	奋起: Remaining Defense
SKILL_20150317_002059	Remaining defense after using [奋起] is 5% per level.
SKILL_20150317_002060	狂击: Knock Down
SKILL_20150317_002061	Monsters 攻击ed with [狂击] knocks down.
SKILL_20150317_002062	集中: Stun
SKILL_20150317_002063	While the [Astral Projection] is enabled, 敌人 falls under [Stun] at 2% 每特性等级 when 攻击ed.
SKILL_20150317_002064	抑制: 持续时间
SKILL_20150317_002065	持续时间 of [Retrain] will 增加 by 5 秒 per level
SKILL_20150317_002066	刺击: Chance of Critical
SKILL_20150317_002067	Critical probability of skill [刺击] is 增加d by 10% 每特性等级.
SKILL_20150317_002068	Swoosh buckling: Max. HP
SKILL_20150317_002069	Max. HP of character 增加 by 5% 每特性等级 while [Swoosh buckling] is enabled.
SKILL_20150317_002070	Swoosh buckling: 范围
SKILL_20150317_002071	Provocation range of [Swoosh buckling] 增加 by 0.2m per level.
SKILL_20150317_002072	Umbo Blow: Stan
SKILL_20150317_002073	敌人 攻击ed with [Umbo Blow] falls under [Stun] by chance of 5% 每特性等级.
SKILL_20150317_002074	Shield Lob: Splash
SKILL_20150317_002075	Splash of [Shield Lob] 增加 by 1 每特性等级.
SKILL_20150317_002076	Shield Mastery
SKILL_20150317_002077	[Shield] wear when block is 增加d by 5% per level features.
SKILL_20150317_002078	Peltasta : Guard
SKILL_20150317_002079	Press C button to use [Guard] after wearing shield.
SKILL_20150317_002080	Block: Counter 攻击
SKILL_20150317_002081	[Block] After a successful, if you 攻击 in the Omuboburo] to the 敌人, will be added to 200% of the 伤害. In addition critical 伤害 is 增加d by 5% per 

level 5 秒
SKILL_20150317_002082	[Umbo Blow]: Add a knockdown
SKILL_20150317_002083	敌人 hit with [Umbo Blow] falls down 以及 knock down power 增加 by 40 per level.
SKILL_20150317_002084	Rim Blow: Frozen Stone
SKILL_20150317_002085	Use [Rim Blow] on frozen or petrified 敌人 to inflict additional 20% 伤害 per level.
SKILL_20150317_002086	Guard: Defense
SKILL_20150317_002087	Defense of character while [Guard] is enabled will 增加 by 10%.
SKILL_20150317_002088	Cartar Stroke: Collision 伤害
SKILL_20150317_002089	When 敌人 knocked back by [Catar Stroke] hit the wall, it receives additional 伤害 of 50% of 物理 伤害.
SKILL_20150317_002090	Cartar Stroke: knock back distance
SKILL_20150317_002091	Pushing force of [Cartar Stroke] 增加 by 50 每特性等级.
SKILL_20150317_002092	王冠: 减少
SKILL_20150317_002093	Amount of INT, SPR reduced when using [王冠] 减少 by 2% 每特性等级.
SKILL_20150317_002094	车轮斩l: Fall 伤害
SKILL_20150317_002095	敌人 in the air by [车轮斩] receive 伤害 of 50% of character's 物理 伤害.
SKILL_20150317_002096	车轮斩: Splash
SKILL_20150317_002097	Splash is 增加d by 1 in [车轮斩].
SKILL_20150317_002098	十字守护: Counter攻击
SKILL_20150317_002099	Skills when a successful block in the 十字守护], giving you the 伤害 about 10% for each level of character 物理 伤害
SKILL_20150317_002100	十字守护: Defense
SKILL_20150317_002101	If at least 3 monsters are provoked when using [十字守护], 伤害 received 减少 by 10% per level.
SKILL_20150317_002102	Two-hand Sword Mastery
SKILL_20150317_002103	[Both hands sword] wearing critical 攻击 is 增加d by 10% per level of features.
SKILL_20150317_002104	连续斩: Critical occurs
SKILL_20150317_002105	Critical probability of skill [连续斩] is 增加d by 10% 每特性等级.
SKILL_20150317_002106	长矛刺击: Evasion
SKILL_20150317_002107	Evasion 增加 by 5% 每特性等级 when 攻击ing 敌人 with [长矛刺击].
SKILL_20150317_002108	刺穿: Continuous hit
SKILL_20150317_002109	[刺穿] makes 4 continuous 攻击 on boss monster.
SKILL_20150317_002110	刺穿: Bleed
SKILL_20150317_002111	5 秒 with 2% probability 每特性等级 of that it has been 攻击ed by skill [刺穿] it takes to [bleeding].
SKILL_20150317_002112	举矛: 物理 伤害
SKILL_20150317_002113	10% of character's INT is added to 物理 伤害 while [举矛] is enabled.
SKILL_20150317_002114	双手攻击: Critical occurrence
SKILL_20150317_002115	When the counter-攻击 skills [双手攻击] is successful, chance of critical 增加 by 5% per level for 5 秒
SKILL_20150317_002116	双手攻击: 穿刺
SKILL_20150317_002117	Hit 伤害 of [Two hand 刺击] 减少 by 10% 每特性等级 以及 穿刺 伤害 增加 by 20% 每特性等级.
SKILL_20150317_002118	举矛: Splash
SKILL_20150317_002119	Spash 增加 by 2 以及 evasion 减少 twice as much when [举矛] is enabled.
SKILL_20150317_002120	Warcry: defense 减少
SKILL_20150317_002121	Number of 敌人 losing defense by [Warcry] 增加 by 1 per level.
SKILL_20150317_002122	Warcry: 持续时间
SKILL_20150317_002123	持续时间 of [Warcry] will 增加 by 2 秒 per level
SKILL_20150317_002124	Aggressor: Critical occurrence
SKILL_20150317_002125	Accuracy added is lowered to half but chance of critical 增加 as much as evasion 减少 when [Aggressor] is enabled.
SKILL_20150317_002126	Aggressor: Additional Accuracy
SKILL_20150317_002127	Additional Accuracy is 增加d by 2% per level 以及 Evasion is 减少d further by 2% per level when using [Aggressor]
SKILL_20150317_002128	Savagery: Critical occurrence
SKILL_20150317_002129	Critical probability of skill [Savagery] is 增加d by 5% 每特性等级.
SKILL_20150317_002130	Savagery: 斩击 repeat
SKILL_20150317_002131	Continuous hit bonus is also applied to 斩击 攻击 for [Savagery].
SKILL_20150317_002132	盾牌猛击: Frozen Stone
SKILL_20150317_002133	[Freezing], gives the 攻击 at the time, 20% of additional 伤害 每特性等级 in the petrochemical] have been 敌人 [盾牌猛击].
SKILL_20150317_002134	横砍: Size slow
