ITEM_20150317_000001	空_头盔 
ITEM_20150317_001494	Chronomancer Costume 
ITEM_20150317_001495	Chronomancers claim that their costume was Agailla Flurry's favorite style. 
ITEM_20150317_001496	Necromancer Costume 
ITEM_20150317_001497	Although Necromancers themselves do not want to look sombre, their costume is dark enough to conduct a funeral. 
ITEM_20150317_001498	Thaumaturge Costume 
ITEM_20150317_001499	In truth, their costume does not match the magic they practice, but tradition is a very strong factor that cannot be ignored. 
ITEM_20150317_001500	Elementalist Costume 
ITEM_20150317_001501	It was crafted with careful consideration so as to not be identified with any particular branch of magic. 
ITEM_20150317_001502	Mimic Costume 
ITEM_20150317_001503	Taoist Costume 
ITEM_20150317_001504	Hunter Costume 
ITEM_20150317_001505	A costume optimized and designed for long term survival in the forest. 
ITEM_20150317_001506	Quarrel Shooter Costume 
ITEM_20150317_001507	It once used to be a uniform of the guards of a large city. However the costume remained the same even after Quarrel Shooters were long disassociated with such a role. 
ITEM_20150317_001508	Ranger Costume 
ITEM_20150317_001509	The Ranger's costume is an evolutionary change of the Quarrel Shooter's costume. 
ITEM_20150317_001510	Sapper Costume 
ITEM_20150317_001511	Although Sappers are related to the Army, their outfit is unregulated due to their specialist role. 
ITEM_20150317_001512	Wugushi Costume 
ITEM_20150317_001513	A very traditional costume from their hometown reflecting their history. 
ITEM_20150317_001514	Hackapell Costume 
ITEM_20150317_001515	This costume allows the wearer to freely turn their torso while mounted, and has been designed to be comfortable for the wearer's legs. 
ITEM_20150317_001516	Scout Costume 
ITEM_20150317_001517	A costume designed with a focused consideration on the time of activity rather than the environment. 
ITEM_20150317_001518	Rogue Costume 
ITEM_20150317_001519	Similarly designed to the Scout's costume but with better mobility. It is clearly inappropriate for formal events. 
ITEM_20150317_001520	Schwarzer Reiter Costume 
ITEM_20150317_001521	A solemn and valiant costume that gives reassurance and a trustworthy feeling to others. 
ITEM_20150317_001522	Fletcher Costume 
ITEM_20150317_001523	It offers a surprising defensive capability due to the thick fabrics used. Considering its wearer's role, mobility can be sacrificed without issue. 
ITEM_20150317_001524	Falconer Costume 
ITEM_20150317_001525	Appraiser Costume 
ITEM_20150317_001526	Pied Piper Costume 
ITEM_20150317_001527	Musketeer Costume 
ITEM_20150317_001528	Priest Costume 
ITEM_20150317_001529	Priests believe they are the most neutral and traditional among the clerics and their costume reflects this belief. 
ITEM_20150317_001530	Krivis Costume 
ITEM_20150317_001531	The Krivis proudly claim that they are the guardians of the oldest traditional faith. Their costume dates back to the Great King Zachariel's rule. 
ITEM_20150317_001532	Bokor Costume 
ITEM_20150317_001533	A costume fitting for any activity, whether it's for looking into a crystal ball, for knitting, or for swinging a weapon. 
ITEM_20150317_001534	Druid Costume 
ITEM_20150317_001535	The long drape used in this costume is said to be helpful for ourdoor living. 
ITEM_20150317_001536	Sadhu Costume 
ITEM_20150317_001537	This outfit was heavily influenced by the location of origin of its wearer. 
ITEM_20150317_001538	Dievdirbys Costume 
ITEM_20150317_001539	Needless to say, clothes uncomfortable for sculpting are not even considered.  
ITEM_20150317_001540	Oracle Costume 
ITEM_20150317_001541	Soft and light, this costume is said to comfort and calm your body and soul. 
ITEM_20150317_001542	Monk Costume 
ITEM_20150317_001543	A costume emphasizing the solemnity of a cleric while being comfortable enough for physical training. 
ITEM_20150317_001544	Pardoner Costume 
ITEM_20150317_001545	Like their suits, this costume gives a sense of faith to others. 
ITEM_20150317_001546	Paladin Costume 
ITEM_20150317_001547	Paladins have two sets of costumes for different purpose: one for indoor prayer and another for outdoor battle. This one is for the latter. 
ITEM_20150317_001548	Shepherd Costume 
ITEM_20150317_001549	Chaplain Costume 
ITEM_20150317_001550	Empty_Hat 
ITEM_20150317_001551	Hair Costume 
ITEM_20150317_001552	A Costume for the Hair slot. You can equip it by right-clicking the item. 
ITEM_20150317_001553	Cat Ears 
ITEM_20150317_001554	This will gain you affection from a certain animal. 
ITEM_20150317_001555	Crystal Headband 
ITEM_20150317_001556	Pony Tail 
ITEM_20150317_001557	Goggles used to protect your eyes. 
ITEM_20150317_001558	Steel Visor 
ITEM_20150317_001559	Wings Visor 
ITEM_20150317_001560	Fedora 
ITEM_20150317_001561	Goggles 
ITEM_20150317_001562	Allows you to keep your eyes open in any condition. Fogging might be an issue, though. 
ITEM_20150317_001563	Lepus Bunny Headband 
ITEM_20150317_001564	Headgear based on the ears of a Lepus Bunny. Using this won't improve your hearing. 
ITEM_20150317_001565	Ginkgo Leaf 
ITEM_20150317_001566	Easily found during autumn. It may smell like the Ginkgo fruit. 
ITEM_20150317_001567	Tiger Swallowtail 
ITEM_20150317_001568	Experience the sensation of Tiger Swallowtail landing on your head. 
ITEM_20150317_001569	Eagle Feather 
ITEM_20150317_001570	Can be used as a writing tool if needed. 
ITEM_20150317_001571	Muscharia Hat 
ITEM_20150317_001572	A mushroom might grow on your head. 
ITEM_20150317_001573	Crown 
ITEM_20150317_001574	With great power comes great responsibility. 
ITEM_20150317_001575	White Flower Hairpin 
ITEM_20150317_001576	Be careful not to be mistaken for being mentally sick. 
ITEM_20150317_001577	Tiger Mask 
ITEM_20150317_001578	A mask with a silly tiger face on it. 
ITEM_20150317_001579	Teeny Doll 
ITEM_20150317_001580	If you face the real Teeny, it will be very different from a doll. 
ITEM_20150317_001581	Wing Helmet 
ITEM_20150317_001582	A helmet with a wing decoration. 
ITEM_20150317_001583	Wing Decoration 
ITEM_20150317_001584	Inspired by a Goddess' wing. 
ITEM_20150317_001585	Nesting Egg 
ITEM_20150317_001586	Nobody knows why the egg was nested on someone's head. 
ITEM_20150317_001587	Nesting Chick 
ITEM_20150317_001588	If you don't feed it properly, you might become bald due to the hungry chick. 
ITEM_20150317_001589	Nesting Chicken 
ITEM_20150317_001590	Now you'll always have eggs for breakfast. 
ITEM_20150317_001591	Campaign Hat 
ITEM_20150317_001592	A hat used for a special event or when marching. 
ITEM_20150317_001593	Gentleman's Dignity 
ITEM_20150317_001594	A very fancy, pompous hat. 
ITEM_20150317_001595	Stylish Glasses 
ITEM_20150317_001596	The latest, trending glasses. It has a pair of colored lenses. 
ITEM_20150317_001597	Bag of Ice 
ITEM_20150317_001598	Very good when you have a fever or for cooling your head. 
ITEM_20150317_001599	Rosa Rugosa 
ITEM_20150317_001600	Smells very pleasant. 
ITEM_20150317_001601	Feather Hat 
ITEM_20150317_001602	Don't mind the feather being larger than the hat. 
ITEM_20150317_001603	Maple Leaf 
ITEM_20150317_001604	Head decoration made to look like a maple leaf. Keep away from fire. 
ITEM_20150317_001605	Red Tassel Hat 
ITEM_20150317_001606	An ornate hat with tassels. Used sometimes by a high ranking official or by reputable people. 
ITEM_20150317_001607	Nurse Headband 
ITEM_20150317_001608	Wearing this won't give you any healing powers. 
ITEM_20150317_001609	Katyn Flower Decoration 
ITEM_20150317_001610	Headband made with flowers from the Katyn Forest. Eminates a faint blue light. 
ITEM_20150317_001611	Dog Ears 
ITEM_20150317_001612	Become cuter with this. 
ITEM_20150317_001613	Cow Headband 
ITEM_20150317_001614	Moooo mooooo mooo moo moooo. 
ITEM_20150317_001615	Small Lion Mask 
ITEM_20150317_001616	In some regions people dance while wearing this mask to cast away evil spirits. 
ITEM_20150317_001617	Big Lion Mask 
ITEM_20150317_001618	Tengu Mask 
ITEM_20150317_001619	Based on a folk tale creature from a faraway land. 
ITEM_20150317_001620	Fox Mask 
ITEM_20150317_001621	Made to look like the face of a fox. People say this mask used to be worn by some assassins. 
ITEM_20150317_001622	Glasses from the Otherworld 
ITEM_20150317_001623	If you wear this, you will enjoy a better depth perception. 
ITEM_20150317_001624	Goat Horn 
ITEM_20150317_001625	If you wear this, your headbutting power may increase. 
ITEM_20150317_001626	Demon Wings 
ITEM_20150317_001627	Wearing this won't give you any special powers against Demons or vice-versa. 
ITEM_20150317_001628	Silver Tiara 
ITEM_20150317_001629	Sometimes the bride will wear this during her wedding. 
ITEM_20150317_001630	Bear Eyemask 
ITEM_20150317_001631	Blocks the light so you can sleep better. 
ITEM_20150317_001632	Symbol of Wealth 
ITEM_20150317_001633	Show them the meaning of 'wealth.' 
ITEM_20150317_001634	Golden Rabbit Hairpin 
ITEM_20150317_001635	Don't lose it, it's made of solid gold. 
ITEM_20150317_001636	Antler Horns 
ITEM_20150317_001637	Towing a sled while wearing this might not be a bad idea. 
ITEM_20150317_001638	Officer Helmet 
ITEM_20150317_001639	Decorations are attached to this helmet to demand respect. 
ITEM_20150317_001640	Gilt Helmet 
ITEM_20150317_001641	The metal of this helmet has been gilded with gold plate. 
ITEM_20150317_001642	Steel Helmet 
ITEM_20150317_001643	A helmet made of strong plate metal. Often worn by knights. 
ITEM_20150317_001644	Black Rabbit Ears 
ITEM_20150317_001645	Connoisseurs often get into disputes regarding the cuteness factor of a straight ear versus a folded ear. 
ITEM_20150317_001646	Kepa Doll 
ITEM_20150317_001647	Hat crafted to represent a Kepa. 
ITEM_20150317_001648	Pink Bunny 
ITEM_20150317_001649	Flaunt your pink-pink-ish attractiveness and cuteness at the same time. 
ITEM_20150317_001650	Stake 
ITEM_20150317_001651	It is said to be a mask used in a faraway land. 
ITEM_20150317_001652	White Tiger Mask 
ITEM_20150317_001653	A mask based on the white tiger, a very rare animal. 
ITEM_20150317_001654	Glasses 
ITEM_20150317_001655	Helps your eyesight. 
ITEM_20150317_001656	Unicorn Horn 
ITEM_20150317_001657	The horn of a Unicorn. It is considered a mythical item. 
ITEM_20150317_001658	Red Horn 
ITEM_20150317_001659	Although you cannot become a Demon, you can attach these to your head. 
ITEM_20150317_001660	Desert Chupacabra Ears 
ITEM_20150317_001661	If you look carefully, you can see tiny soft hairs on these ears. 
ITEM_20150317_001662	Mirtis Helmet 
ITEM_20150317_001663	Helmet previously used by Mirtis. 
ITEM_20150317_001664	Red Devil Wings 
ITEM_20150317_001665	Why do people want to attach wings to their heads? 
ITEM_20150317_001666	Angel Wings 
ITEM_20150317_001667	I now know that feeling of being alone. This was a mistake. 
ITEM_20150317_001668	Fallen Angel Wings 
ITEM_20150317_001669	The angels who committed sins are said to have had their wings turned black by their corruption. 
ITEM_20150317_001670	Maid Headband 
ITEM_20150317_001671	How can I serve you today, master? 
ITEM_20150317_001672	Wugushi Helmet 
ITEM_20150317_001673	A helmet that is symbolic of the Wugushis. 
ITEM_20150317_001674	Earplugs 
ITEM_20150317_001675	Blocks out noise. 
ITEM_20150317_001676	It completely cuts you off from any external sound, including Mandragoras' screams. 
ITEM_20150317_001677	Luxury Hairpin 
ITEM_20150317_001678	Feather Helmet 
ITEM_20150317_001679	Shaman Mask 
ITEM_20150317_001680	Sprout 
ITEM_20150317_001681	Fried Egg 
ITEM_20150317_001682	Party Cone 
ITEM_20150317_001683	Cat Hairpin 
ITEM_20150317_001684	Imperial Helm 
ITEM_20150317_001685	Ball from Another World 
ITEM_20150317_001686	Burdensome Ribbon 
ITEM_20150317_001687	Paper Crane 
ITEM_20150317_001688	Ghost Headband 
ITEM_20150317_001689	Carnival Mask 
ITEM_20150317_001690	Peacock Feather 
ITEM_20150317_001691	War Bonnet 
ITEM_20150317_001692	Pineapple 
ITEM_20150317_001693	Desert Outlaw 
ITEM_20150317_001694	Clown Cap 
ITEM_20150317_001695	Owl 
ITEM_20150317_001696	Crown Headband 
ITEM_20150317_001697	Pudding 
ITEM_20150317_001698	Bride Coronet 
ITEM_20150317_001699	Polka Dot Ribbon 
ITEM_20150317_001700	Blue Ribbon 
ITEM_20150317_001701	Mint Chocolate Cupcake 
ITEM_20150317_001702	Strawberry Cupcake 
ITEM_20150317_001703	Mergen Hat 
ITEM_20150317_001704	Point 
ITEM_20150317_001705	Resets your threat value. 
ITEM_20150317_001706	Shadow Umbrella 
ITEM_20150317_001707	Animal-type monsters cannot attack you. 
ITEM_20150317_001708	Medusa Head 
ITEM_20150317_001709	Petrifies the enemy. 
ITEM_20150317_001710	Confusion Flag 
ITEM_20150317_001711	Confuses the enemy. 
ITEM_20150317_001712	Imperial Fan 
ITEM_20150317_001713	Blows the enemy away. 
ITEM_20150317_001714	Demonbane Charm 
ITEM_20150317_001715	Reduces the defense of the Devil-type monsters. 
ITEM_20150317_001716	Bronze Compass 
ITEM_20150317_001717	Provides resistance against the Confusion status. 
ITEM_20150317_001718	Bubble Stick 
ITEM_20150317_001719	Bubble 法杖 
ITEM_20150317_001720	Secondary Dagger 
ITEM_20150317_001721	HPSP 药剂 
ITEM_20150317_001722	SP 药剂 
ITEM_20150317_001723	Speed 药剂 
ITEM_20150317_001724	STA 药剂 
ITEM_20150317_001725	Aggro 药剂 
ITEM_20150317_001726	Money Bag 
ITEM_20150317_001727	Medal 
ITEM_20150317_001728	Four-leaf Clover 
ITEM_20150317_001729	Charm 
ITEM_20150317_001730	Increases your Critical Hit chance. 
ITEM_20150317_001731	Alchemy 1 
ITEM_20150317_001732	Alchemy 2 
ITEM_20150317_001733	Alchemy 3 
ITEM_20150317_001734	Alchemy 4 
ITEM_20150317_001735	Alchemy 5 
ITEM_20150317_001736	Alchemy 6 
ITEM_20150317_001737	Alchemy 7 
ITEM_20150317_001738	Alchemy 8 
ITEM_20150317_001739	Alchemy 9 
ITEM_20150317_001740	Alchemy 10 
ITEM_20150317_001741	Alchemy 11 
ITEM_20150317_001742	Alchemy 12 
ITEM_20150317_001743	Alchemy 13 
ITEM_20150317_001744	Alchemy 14 
ITEM_20150317_001745	Alchemy 15 
ITEM_20150317_001746	Fitting room 
ITEM_20150317_001747	Muzzles 
ITEM_20150317_001748	Frying Pan 
ITEM_20150317_001749	Pirate Flag 
ITEM_20150317_001750	Shovel 
ITEM_20150317_001751	Tongs 
ITEM_20150317_001752	Claymore Skills 
ITEM_20150317_001753	Alchemy 16 
ITEM_20150317_001754	Hammer 
ITEM_20150317_001755	Lamp 
ITEM_20150317_001756	Filter 
ITEM_20150317_001757	Anvil Set 
ITEM_20150317_001758	Hammer 2 
ITEM_20150317_001759	Material Bag 
ITEM_20150317_001760	Monstrance Set 
ITEM_20150317_001761	Magnifier 
ITEM_20150317_001762	Magnifier Skills 
ITEM_20150317_001763	Empty_Outer 
ITEM_20150317_001764	Empty_Pants 
ITEM_20150317_001765	Empty_Gloves 
ITEM_20150317_001766	Empty_Boots 
ITEM_20150317_001767	Top 
ITEM_20150317_001768	体力 +5 Increase 药剂 
ITEM_20150317_001769	右键点击使用. 
ITEM_20150317_001770	Small HP 药剂 
ITEM_20150317_001771	恢复 192 HP. {nl}HP每两秒回复一次,持续15秒. {nl}右键点击使用. 冷却 30 秒. 
ITEM_20150317_001772	HP 药剂 
ITEM_20150317_001773	恢复 320 HP. {nl}HP每两秒回复一次,持续15秒. {nl}右键点击使用. 冷却 45 秒. 
ITEM_20150317_001774	大 HP 药剂 
ITEM_20150317_001775	恢复 640 HP. {nl}HP每两秒回复一次,持续15秒. {nl}右键点击使用. 冷却 60 秒. 
ITEM_20150317_001776	小 SP 药剂 
ITEM_20150317_001777	恢复 144 SP. {nl}SP每两秒回复一次,持续15秒. {nl}右键点击使用. 冷却 30 秒. 
ITEM_20150317_001778	恢复 240 SP. {nl}SP每两秒回复一次,持续15秒. {nl}右键点击使用. 冷却 45 秒. 
ITEM_20150317_001779	Large SP 药剂 
ITEM_20150317_001780	恢复 480 SP. {nl}SP每两秒回复一次,持续15秒. {nl}右键点击使用. 冷却 60 秒. 
ITEM_20150317_001781	体力 药丸 
ITEM_20150317_001782	恢复 15 Stamina. {nl}右键点击使用. 冷却 30 秒. 
ITEM_20150317_001783	STA 药丸 (Medium) 
ITEM_20150317_001784	恢复 30 Stamina. {nl}右键点击使用. 冷却 45 秒. 
ITEM_20150317_001785	STA 药丸 (Large) 
ITEM_20150317_001786	恢复 40 Stamina. {nl}右键点击使用. 冷却 60 秒. 
ITEM_20150317_001787	Small Recovery 药剂 
ITEM_20150317_001788	恢复 244 HP and SP. {nl}Health and SP are restored every 2 seconds for 15 seconds. {nl}右键点击使用. 冷却 30 秒. 
ITEM_20150317_001789	Recovery 药剂 
ITEM_20150317_001790	恢复 373 HP and SP. {nl}Health and SP are restored every 2 seconds for 15 seconds. {nl}右键点击使用. 冷却 30 秒. 
ITEM_20150317_001791	Large Recovery 药剂 
ITEM_20150317_001792	恢复 744 HP and SP. {nl}Health and SP are restored every 2 seconds for 15 seconds. {nl}右键点击使用. 冷却 30 秒. 
ITEM_20150317_001793	STA + 5 Increase 药剂 
ITEM_20150317_001794	Increases Stamina by 5 
ITEM_20150317_001795	Red Kepa Piece 
ITEM_20150317_001796	Inflicts periodic Poison Damage (LV1) to the monster when used. 
ITEM_20150317_001797	Can be only used on Beast-type monsters. 
ITEM_20150317_001798	HP Recovery 药剂 (Small) 
ITEM_20150317_001799	SP Recovery 药剂 (Small) 
ITEM_20150317_001800	HP +5 Increase 药剂 
ITEM_20150317_001801	HP +10 Increase 药剂 
ITEM_20150317_001802	移动速度提升 药剂 
ITEM_20150317_001803	提升移动速度 5 for 180 seconds. 右键点击使用. 冷却 30 seconds. 
ITEM_20150317_001804	Warp Scroll 
ITEM_20150317_001805	Allows you to warp to any Goddess Statue. Your current location will be saved at the Goddess Statue. 
ITEM_20150317_001806	Companion Food 
ITEM_20150317_001807	Restores Velhider's Stamina by 30. 
ITEM_20150317_001808	Varnalesa 
ITEM_20150317_001809	恢复 32~35 SP. 右键点击使用. 
ITEM_20150317_001810	Valerijonas 
ITEM_20150317_001811	A flower that can be used as a herb. 
ITEM_20150317_001812	Ciobrelis 
ITEM_20150317_001813	A purple colored flower that has regenerative effects when boiled. Restores 8 Stamina.  右键点击使用. 
ITEM_20150317_001814	Uosis 
ITEM_20150317_001815	A herb that grows in sunny fields. 
ITEM_20150317_001816	Amalas 
ITEM_20150317_001817	Aviete 
ITEM_20150317_001818	Gyslotis 
ITEM_20150317_001819	A herb used by a priest during a ceremony for the dead. 
ITEM_20150317_001820	Jonazole 
ITEM_20150317_001821	Mairunas 
ITEM_20150317_001822	Ramunele 
ITEM_20150317_001823	Raudonelis 
ITEM_20150317_001824	Sweet-tasting herb. It is sometimes used for treatment of wounds. 恢复 HP. 
ITEM_20150317_001825	Onion 
ITEM_20150317_001826	Only those who have peeled its skin it knows how it feels. 
ITEM_20150317_001827	Salavijas 
ITEM_20150317_001828	Dilgele 
ITEM_20150317_001829	It tastes bad but restores your SP. 
ITEM_20150317_001830	Medus 
ITEM_20150317_001831	Sticky liquid with a sweet taste. 
ITEM_20150317_001832	Nukella 
ITEM_20150317_001833	Acorn 
ITEM_20150317_001834	Truffle 
ITEM_20150317_001835	恢复 350~400 SP. A well-known delicacy among food connoisseurs. 右键点击使用. 
ITEM_20150317_001836	Flower Bun 
ITEM_20150317_001837	Pine Mushroom 
ITEM_20150317_001838	Bezoar 
ITEM_20150317_001839	You can obtain this from the Mission Glassmole and Mission Wood Spirit from a Lv50 Mission. 
ITEM_20150317_001840	Red Ox 
ITEM_20150317_001841	Gives you the fortitude of an ox. Your stamina will not deplete for 10 minutes. 
ITEM_20150317_001842	Hardtack 
ITEM_20150317_001843	Firent Fruit 
ITEM_20150317_001844	Mangosteen 
ITEM_20150317_001845	Peach 
ITEM_20150317_001846	Surstromming 
ITEM_20150317_001847	Durian 
ITEM_20150317_001848	Strawberry 
ITEM_20150317_001849	Wisdomberry 
ITEM_20150317_001850	Lemon 
ITEM_20150317_001851	Aggro 药剂 
ITEM_20150317_001852	Lv120 Klaipeda Parish's Request 
ITEM_20150317_001853	A scroll that will open a mission portal. 右键点击使用. 
ITEM_20150317_001854	Crystal Mine Mission Warp Stone 
ITEM_20150317_001855	Lv140 Keepers' Request 
ITEM_20150317_001856	Lv160 Paladin Followers' Request 
ITEM_20150317_001857	Seven Valley Mission Warp Stone 
ITEM_20150317_001858	Thorn Forest Mission Warp Stone 
ITEM_20150317_001859	Canyon Area Mission Warp Stone 
ITEM_20150317_001860	Royal Tomb Mission Warp Stone 
ITEM_20150317_001861	Ruins Mission Warp Stone 
ITEM_20150317_001862	The Magician's Tower Mission Warp Stone 
ITEM_20150317_001863	Holy Water 
ITEM_20150317_001864	Water blessed with a holy spirit. Used by priests. 
ITEM_20150317_001865	Holy Powder 
ITEM_20150317_001866	A white powder that is consumed when priests cast a magic spell. It is said to amplify their magical power. 
ITEM_20150317_001867	Catacombs Mission Warp Stone 
ITEM_20150317_001868	Garlic 
ITEM_20150317_001869	Popolion Meat 
ITEM_20150317_001870	恢复 40~50 HP. This meat is easily obtainable and can be eaten raw. 右键点击使用. 
ITEM_20150317_001871	Klaipeda Warp Scroll 
ITEM_20150317_001872	Teleports you to Klaipeda. 右键点击使用. 
ITEM_20150317_001873	Coins Box 
ITEM_20150317_001874	Contains one Coins. 右键点击使用. 
ITEM_20150317_001875	Cures [Poison] abnormal status. 
ITEM_20150317_001876	Velhider's Food 
ITEM_20150317_001877	Velhider's favorite food. 完全恢复你伙伴的 HP 和 体力 30 点. 
ITEM_20150317_001878	Hoglan's Food 
ITEM_20150317_001879	Hoglan's favorite food. 完全恢复你伙伴的 HP 和 体力 30 点. 
ITEM_20150317_001880	Arma's Food 
ITEM_20150317_001881	Arma's favorite food. 完全恢复你伙伴的 HP 和 体力 30 点. 
ITEM_20150317_001882	Basic Warp scroll 
ITEM_20150317_001883	LV1 EXP Card  
ITEM_20150317_001884	增加 30 EXP. {nl}概率获得50%额外的EXP. {nl}右键点击使用. 
ITEM_20150317_001885	LV2 EXP Card  
ITEM_20150317_001886	增加 120 EXP. {nl}概率获得50%额外的EXP. {nl}右键点击使用. 
ITEM_20150317_001887	LV3 EXP Card  
ITEM_20150317_001888	增加 500 EXP. {nl}概率获得50%额外的EXP. {nl}右键点击使用. 
ITEM_20150317_001889	LV4 EXP Card  
ITEM_20150317_001890	增加 2000 EXP. {nl}概率获得50%额外的EXP. {nl}右键点击使用. 
ITEM_20150317_001891	LV5 EXP Card  
ITEM_20150317_001892	增加 6000 EXP. {nl}概率获得50%额外的EXP. {nl}右键点击使用. 
ITEM_20150317_001893	LV6 EXP Card  
ITEM_20150317_001894	增加 12000 EXP. {nl}概率获得50%额外的EXP. {nl}右键点击使用. 
ITEM_20150317_001895	LV7 EXP Card  
ITEM_20150317_001896	增加 24000 EXP. {nl}概率获得50%额外的EXP. {nl}右键点击使用. 
ITEM_20150317_001897	HP Increase 药剂 
ITEM_20150317_001898	Permanently increases max HP by 30. 右键点击使用. 
ITEM_20150317_001899	SP Increase 药剂 
ITEM_20150317_001900	Permanently increases max SP by 20. 右键点击使用. 
ITEM_20150317_001901	Stamina Increase 药剂 
ITEM_20150317_001902	Permanently increases max Stamina by 5. 右键点击使用. 
ITEM_20150317_001903	Weight Increase 药剂 
ITEM_20150317_001904	Permanently increases max Weight by 100. 右键点击使用. 
ITEM_20150317_001905	Basic Small HP 药剂  
ITEM_20150317_001906	Basic HP 药剂 Supply  
ITEM_20150317_001907	Basic Large HP 药剂  
ITEM_20150317_001908	Basic Small SP 药剂  
ITEM_20150317_001909	Basic SP 药剂  
ITEM_20150317_001910	Basic Large SP 药剂  
ITEM_20150317_001911	Basic Stamina 药丸 
ITEM_20150317_001912	Basic STA 药剂 (Medium) 
ITEM_20150317_001913	Basic STA 药剂 (Large) 
ITEM_20150317_001914	Basic Small Recovery 药剂  
ITEM_20150317_001915	Basic Recovery 药剂  
ITEM_20150317_001916	Basic Large Recovery 药剂  
ITEM_20150317_001917	Basic Movement Increase 药剂  
ITEM_20150317_001918	STR 提升药剂 
ITEM_20150317_001919	永久提升Strength 1点. 右键点击使用. 
ITEM_20150317_001920	DEX 提升药剂 
ITEM_20150317_001921	永久提升Dexterity 1点. 右键点击使用. 
ITEM_20150317_001922	HP 提升药剂 
ITEM_20150317_001923	Permanently increases Health by 1. 右键点击使用. 
ITEM_20150317_001924	INT 提升药剂 
ITEM_20150317_001925	Permanently increases Intelligence by 1. 右键点击使用. 
ITEM_20150317_001926	SPR 提升药剂 
ITEM_20150317_001927	Permanently increases Spirit by 1. 右键点击使用. 
ITEM_20150317_001928	Ability 提升药剂 
ITEM_20150317_001929	Gives 1 Ability Point. 右键点击使用. 
ITEM_20150317_001930	Permanently increases the max Weight by 50. 右键点击使用. 
ITEM_20150317_001931	冷却 Time 药剂 (CBT Test Purposes) 
ITEM_20150317_001932	Reduce the 冷却 duration of all skills by 50% for 10 minutes. 右键点击使用. 冷却 10 minutes. 
ITEM_20150317_001933	Ability Reset Scroll (CBT Test Purposes) 
ITEM_20150317_001934	Reset the ability points of your character. (CBT Tester Only) 
ITEM_20150317_001935	LV8 EXP Card  
ITEM_20150317_001936	增加 36000 EXP. 概率获得50%额外的EXP. 右键点击使用. 
ITEM_20150317_001937	LV9 EXP Card  
ITEM_20150317_001938	增加 60000 EXP. 概率获得50%额外的EXP. 右键点击使用. 
ITEM_20150317_001939	攻击力提升 +3 
ITEM_20150317_001940	提升 +3 damage to a weapon. Can be added and used from the quickslot. 
ITEM_20150317_001941	攻击力提升 +5 
ITEM_20150317_001942	提升 +5 damage to a weapon. Can be added and used from the quickslot. 
ITEM_20150317_001943	攻击力提升 +14 
ITEM_20150317_001944	提升 +14 damage to a weapon. Can be added and used from the quickslot. 
ITEM_20150317_001945	Defense Booster +4 
ITEM_20150317_001946	Reduces damage taken by 4. Can be added and used from the quickslot. 
ITEM_20150317_001947	Defense Booster +8 
ITEM_20150317_001948	Reduces damage taken by 8. Can be added and used from the quickslot. 
ITEM_20150317_001949	Condensed HP 药剂 
ITEM_20150317_001950	Condensed HP 药剂 
ITEM_20150317_001951	Potent Stamina 药丸 
ITEM_20150317_001952	冷却 Time 药剂 
ITEM_20150317_001953	Monster Specimen Set 
ITEM_20150317_001954	An old relic found in a well. 右键点击使用. 
ITEM_20150317_001955	Ore Collection 
ITEM_20150317_001956	A collection where you can register your items. You can register an item by right-clicking it. 
ITEM_20150317_001957	Flower Collection 
ITEM_20150317_001958	Bone Collection 
ITEM_20150317_001959	Crystal Collection 
ITEM_20150317_001960	Royal Tomb Collection 
ITEM_20150317_001961	Cockatrice Collection 
ITEM_20150317_001962	Devil Collection 
ITEM_20150317_001963	Tenet Cathedral Collection 
ITEM_20150317_001964	Spirit Collection 
ITEM_20150317_001965	Lv1 Card Collection 
ITEM_20150317_001966	Lv2 Card Collection 
ITEM_20150317_001967	Lv3 Card Collection 
ITEM_20150317_001968	Lv4 Card Collection 
ITEM_20150317_001969	Practice Anvil 
ITEM_20150317_001970	You can improve the ability of an item by placing and hammering it on this anvil. {nl}Can be purchased from Tool Merchant.{nl}右键点击使用. 
ITEM_20150317_001971	Gaigalas Card 
ITEM_20150317_001972	Card 
ITEM_20150317_001973	A card containing the power of a strong monster. 
ITEM_20150317_001974	Gorgon Card 
ITEM_20150317_001975	Gorgon Card 
ITEM_20150317_001976	Golem Card 
ITEM_20150317_001977	Grinender Card 
ITEM_20150317_001978	Glass Mole Card 
ITEM_20150317_001979	Ginklas Card 
ITEM_20150317_001980	Netherbovine Card 
ITEM_20150317_001981	Necrovanter Card 
ITEM_20150317_001982	Deadbone Card 
ITEM_20150317_001983	Devilglove Card 
ITEM_20150317_001984	Denoptic Card 
ITEM_20150317_001985	Ravinepede Card 
ITEM_20150317_001986	Rajatoad Card 
ITEM_20150317_001987	Rocktortuga Card 
ITEM_20150317_001988	Rexipher Card 
ITEM_20150317_001989	Reaverpede Card 
ITEM_20150317_001990	Rikaus Card 
ITEM_20150317_001991	Mineloader Card 
ITEM_20150317_001992	Malletwyvern Card 
ITEM_20150317_001993	Magbirk Card 
ITEM_20150317_001994	Manticen Card 
ITEM_20150317_001995	Mummyghast Card 
ITEM_20150317_001996	Mushcaria card 
ITEM_20150317_001997	Mudge Card 
ITEM_20150317_001998	Mothstem Card 
ITEM_20150317_001999	Moa Card 
ITEM_20150317_002000	Moyabruka Card 
ITEM_20150317_002001	Moldyhorn Card 
ITEM_20150317_002002	Molich Card 
