QUEST_LV_0200_20150317_000001	Philip's soldiers
QUEST_LV_0200_20150317_000720	I regret it a lot. {nl}I should have been brave enough..
QUEST_LV_0200_20150317_000721	Soul of Lost Lady Explorer
QUEST_LV_0200_20150317_000722	Excuse me! Please help me! {nl}Whew, my god! I didn't expect to meet anyone here. {nl}
QUEST_LV_0200_20150317_000723	If we announce that we've found the epitaph of the sculptor, people will recognize our family again. {nl}But strangely, I can't get off my feet. {nl}I need to take down the writings on the epitaph as evidence that it's found..
QUEST_LV_0200_20150317_000724	Thinking of which.. I don't know. I don't know who I am, where I am from.. {nl}My head is full of thoughts about that epitaph and I can't think of anything else.
QUEST_LV_0200_20150317_000725	It was a memorial stone meant to show to humans but the writings must have had powers of calming the souls. {nl}
QUEST_LV_0200_20150317_000726	Desperate Owl Statue
QUEST_LV_0200_20150317_000727	Sequoia Flame alone is a critical threat to us. {nl}Those might burn us first. {nl}It's painful and horrible to just think about it.
QUEST_LV_0200_20150317_000728	I don't want to burn. {nl}Please help.
QUEST_LV_0200_20150317_000729	Thank you. Now I don't have to worry about burning. {nl}I'm sick and tired of the Sequoias now.
QUEST_LV_0200_20150317_000730	Please help. There are souls that I can't save by myself. {nl}Can you take care of their remains in Nuapti Lowlands?
QUEST_LV_0200_20150317_000731	They were soldier headed back to their home. {nl}But a swarm of monsters suddenly attacked them and..
QUEST_LV_0200_20150317_000732	You've gathered them well. {nl}I hope this will comfort them.
QUEST_LV_0200_20150317_000733	I'm sorry. {nl}I am too weak and wasn't able to comfort them with their remains only. {nl}Maybe the keepsakes that the monsters would help..
QUEST_LV_0200_20150317_000734	This forest was peaceful just 4 years ago. {nl}Now it's suffering because of the mosnters and crying souls.
QUEST_LV_0200_20150317_000735	Thank you. {nl}I'm sure the soldiers are thanking you too.
QUEST_LV_0200_20150317_000736	This is my selfishness but. {nl}I want to give a gift to the souls who followed my followed me. {nl}It's a mysterious grass called Butterfly Scent that allows souls to smell the scent of their hometown.
QUEST_LV_0200_20150317_000737	No one would want to forget their hometown. {nl}When I smell Butterfly Scent, I also reminisce the days before I became a statue.
QUEST_LV_0200_20150317_000738	Thank you very much. {nl}Now they can rest in peace. {nl}
QUEST_LV_0200_20150317_000739	Please pray for them in Consoldation Garden later when you have time.
QUEST_LV_0200_20150317_000740	You are a very kind person. {nl}Butterfly Scent only grow in the Butterfly Grave bush.
QUEST_LV_0200_20150317_000741	We guide the souls to Goddess Ausrine. {nl}But it's a big problem now because the number of souls are multiplying when the Goddess is not around.
QUEST_LV_0200_20150317_000742	Sad Owl Statue
QUEST_LV_0200_20150317_000743	Help! {nl}The Throneweavers are destroying us.
QUEST_LV_0200_20150317_000744	Monsters were around even before. {nl}But since the tree emerged in the capital, they began to destroy us. {nl}
QUEST_LV_0200_20150317_000745	Do you think the end of the world is really coming?
QUEST_LV_0200_20150317_000746	One.. Two.. Three.. {nl}This would be enough.
QUEST_LV_0200_20150317_000747	Throneweavers like the leg roots of Sakmoli very much. {nl}If they smell a mix of both, they will jump out right away.
QUEST_LV_0200_20150317_000748	This will be enough to lure them.
QUEST_LV_0200_20150317_000749	Now go back to the Grave Spider nest again. {nl}Get rid of them when they smell the bait and rush in.
QUEST_LV_0200_20150317_000750	Show them a lesson so that they won't destroy the owls again.
QUEST_LV_0200_20150317_000751	Thank you. {nl}They will not dare to attack us now.
QUEST_LV_0200_20150317_000752	Our spell powers are important nourishments to the monsters. {nl}
QUEST_LV_0200_20150317_000753	But it's not only that. {nl}Do you think there is a reason for us not to guide the souls? {nl}
QUEST_LV_0200_20150317_000754	Shy Owl Statue
QUEST_LV_0200_20150317_000755	Something strange is happening. {nl}The souls I've been guiding have suddenly stopped moving. {nl}
QUEST_LV_0200_20150317_000756	I think they were caught in Nelasve Shore but I have no way to find out. {nl}Please help me. If we don't save the souls, they will fall into the evils.
QUEST_LV_0200_20150317_000757	More and more wandering souls are beginning to suffer. {nl}Maybe someone is doing this on purpose..
QUEST_LV_0200_20150317_000758	Thank you. {nl}Who would do such a thing?
QUEST_LV_0200_20150317_000759	Sad Owl Statue
QUEST_LV_0200_20150317_000760	Help me. {nl}Souls are disappearing from Amolallul Hills. {nl}
QUEST_LV_0200_20150317_000761	I want to find out what is happening. {nl}Please persuade the soul going to the hills and guide him to me. {nl}
QUEST_LV_0200_20150317_000762	The souls are disappearing. What do you think is happening? {nl}{nl}
QUEST_LV_0200_20150317_000763	The souls are saying the Goddess Statue in Amolalul Hills called for them. {nl}But there is no Goddess Statue there..
QUEST_LV_0200_20150317_000764	I'm sure someone did this on purpose. {nl}Please check Amolallul Hills.
QUEST_LV_0200_20150317_000765	There is no Goddess Statue there. What would they be referring to? {nl}
QUEST_LV_0200_20150317_000766	A monster in disguise as a Goddess Statue. I pity the souls. {nl}Now the souls can rest in peace. It's all thanks to you.
QUEST_LV_0200_20150317_000767	If someone is intentionally interruptiong the souls, then it can only be the demons. {nl}Why do you think they would want to break the balance?
QUEST_LV_0200_20150317_000768	You can find Sakmolis near the nest of Grave Spiders.
QUEST_LV_0200_20150317_000769	Soul of Officer
QUEST_LV_0200_20150317_000770	Can you see me? {nl}Then let me ask you a favor. {nl}I need someone to help us finish our last mission. {nl}{nl}
QUEST_LV_0200_20150317_000771	That owl statue is not moving an inch. {nl}I heard they guide souls but I don't think so.
QUEST_LV_0200_20150317_000772	Good job. This will be enough.
QUEST_LV_0200_20150317_000773	I will weave these wood and make it human like. {nl}The crisp skin of Old Kepa in Purple Light Shelter would be just right. Please do me a favor again.
QUEST_LV_0200_20150317_000774	I spent a long time without salvation. {nl}My men will also be saved if you defeat that monster.
QUEST_LV_0200_20150317_000775	Did you gather the skin of Old Kepa? This will be enough. Good.
QUEST_LV_0200_20150317_000776	The bait is ready. {nl}I'm sorry but I want you to test this on the monsters in Uzesy Lot for me.
QUEST_LV_0200_20150317_000777	Run away if the bait fails. {nl}I don't want you to become like me.
QUEST_LV_0200_20150317_000778	The bait is alright. {nl}Follow me to Grobis Crossroad.
QUEST_LV_0200_20150317_000779	Thank you for following me. {nl}Weave in some leaves of Ellum to finish it.
QUEST_LV_0200_20150317_000780	Good work. Now it's time to pay revenge.
QUEST_LV_0200_20150317_000781	This is my last favor. {nl}It's Grobis Crossroad. Please finish our last mission with this bait.
QUEST_LV_0200_20150317_000782	If your life is in danger, don't hesitate to run. {nl}I don't want you to get caught up for our revenge.
QUEST_LV_0200_20150317_000783	Whew. Now me and my men can rest in peace. {nl}We will meet the Goddess soon. I will pray for your grace.
QUEST_LV_0200_20150317_000784	Thank you. Thank you very much. {nl}Get me hard wood first from the Bushspider in Purple Light Shelter.
QUEST_LV_0200_20150317_000785	Well. I don't know what I'm doing left here. {nl}That owl that's supposed to guide us is not saying a word either.
QUEST_LV_0200_20150317_000786	Maybe we can go back to the Goddess if we reach what we were not able to. {nl}
QUEST_LV_0200_20150317_000787	That fella has a lot of worries. {nl}I said it's not Deadborn but still like that.
QUEST_LV_0200_20150317_000788	It's worth a try if it's Salister. {nl}If it's Deadborn, then I'd run away.
QUEST_LV_0200_20150317_000789	I never heard of any Deadborn sightings in 卡丁森林.
QUEST_LV_0200_20150317_000790	We had to go through so much to get back 卡丁森林 Entrance. I don't think Deadborn will appear, would it?
QUEST_LV_0200_20150317_000791	Continued raid of monsters are tiring us. {nl}If you help us and release the siege, then the soldier will also cheer up.
QUEST_LV_0200_20150317_000792	Not knowing what heppened to the other troops is frustrating.
QUEST_LV_0200_20150317_000793	Thank you. I can feel relieved for the time being. {nl}Ah, if you see a soldier named Roy, please tell him to return.
QUEST_LV_0200_20150317_000794	We didn't just stay put when we were sieged by the mosnters. {nl}We sent out scouts to get away from here but no one came back. {nl}{NP}If it's okay with you, I'd like to ask you to search for them. {nl}
QUEST_LV_0200_20150317_000795	We need every man we have. {nl}I hope nothing happened to them..
QUEST_LV_0200_20150317_000796	You're really trustworthy. {nl}They went up north.
QUEST_LV_0200_20150317_000797	Were you sent by Sir Danius? {nl}You're too late. Others were taken down already.
QUEST_LV_0200_20150317_000798	The monsters will come to attack again soon. {nl}But I can't move now.
QUEST_LV_0200_20150317_000799	You saved me. I can't ask you to bring me back to camp. {nl}Thank you for saving my life!
QUEST_LV_0200_20150317_000800	This was a method I used when I was alive. {nl}It was mostly successul back then.
QUEST_LV_0200_20150317_000801	The supplies troops must have arrived already but they are late. {nl}I'm sure something happened to them. Can you search them in the lower area?
QUEST_LV_0200_20150317_000802	I'm sure we can find our way out of here if we find the supplies troops.
QUEST_LV_0200_20150317_000803	Are you from the rearguard units? {nl}I'm sorry to be so late. {nl}
QUEST_LV_0200_20150317_000804	But we are all very tired. {nl}If you want to send us back to rearguard unit, please help us gather the scattered supplies.
QUEST_LV_0200_20150317_000805	All kinds of monsters attack us when we have supplies. {nl}We need more soldiers but there is no news no matter how much backup we requested.
QUEST_LV_0200_20150317_000806	Thank you. {nl}This will be enough to cover.
QUEST_LV_0200_20150317_000807	Right now, it would be best for our troops to join with Danius' troops. {nl} We will join them soon after a little rest so please deliver them the food supplies first.
QUEST_LV_0200_20150317_000808	We feel sorry to deliver the supplies late. {nl}But this is the situation of most supplies troops.
QUEST_LV_0200_20150317_000809	What happened? {nl}Were the supplies troops well on their way? {nl}
QUEST_LV_0200_20150317_000810	At least the food supplies were delivered first. {nl}Good work. {nl}
QUEST_LV_0200_20150317_000811	Sir Danius ordered for return? {nl}I can't return until I collect all the Puragi Hooks.
QUEST_LV_0200_20150317_000812	The mission is more important than the order to return. {nl}If we were to consider priorities, I mean.
QUEST_LV_0200_20150317_000813	Thank you for your help. {nl}But do I just return to Danius' troops?
QUEST_LV_0200_20150317_000814	Have you seen a soldier named Roy? {nl}
QUEST_LV_0200_20150317_000815	You mean you returned him to the rear unit? {nl}That's bad. We're short on men. You are partly responsible for it so you better cooperate too.
QUEST_LV_0200_20150317_000816	Blood will be shed soon. {nl}I pity you for going in for Roy.
QUEST_LV_0200_20150317_000817	So, just as I've heard. {nl}
QUEST_LV_0200_20150317_000818	The next mission is to find the missing scouts. {nl}They were sent to Razysis Hills but have not returned for hours.
QUEST_LV_0200_20150317_000819	The troops were attacked, and so was I. {nl}I hope we can at least find the report to send to sir Palipas..
QUEST_LV_0200_20150317_000820	Our squad is all dead because of my incompetence. {nl}I'm the only one alive but I don't think I have much time left either.
QUEST_LV_0200_20150317_000821	The report is all soaked in blood and can't be read. {nl}I can't stand that my men's efforts were all for nothing.
QUEST_LV_0200_20150317_000822	There is one last favor I would like to ask you. {nl}The remains of my men are in the hills. Please take care of their keepsakes.
QUEST_LV_0200_20150317_000823	I feel sorry for them abandoned among the monsters.
QUEST_LV_0200_20150317_000824	Thank you.{nl}My men can now rest in peace. {nl}
QUEST_LV_0200_20150317_000825	Oh, I've found some parts that you can read from my men's reports. {nl}Please tell sir Philipas that the monsters will attack the troops soon.
QUEST_LV_0200_20150317_000826	..is that so. I guess it's too late for the scouts. {nl}I promise to treat them with respect. {nl}
QUEST_LV_0200_20150317_000827	According to Johan's report, we better strike them from behind. {nl}I'll meet you in Izdaginkas Road.
QUEST_LV_0200_20150317_000828	Revenge is best served cold. {nl}Even for Johan and his men.
QUEST_LV_0200_20150317_000829	You're here. {nl}Are you ready? {nl}
QUEST_LV_0200_20150317_000830	The battle has begun. Troops have entered Izdaginkas Road already. {nl}It will be a big help if you fight with them.
QUEST_LV_0200_20150317_000831	The plan will not fail. {nl}I promise to Johan's troops.
QUEST_LV_0200_20150317_000832	It looks like you've done more than Roy's part. {nl}If it wasn't for you, we would not have been successful. {nl}
QUEST_LV_0200_20150317_000833	I hope the blessings of the Goddess be with you on your journey.
QUEST_LV_0200_20150317_000834	I can't close my eyes before we defeat that monster.
QUEST_LV_0200_20150317_000835	When will this pitiful feeling end. {nl}When I look at the souls, I don't think it will end.
QUEST_LV_0200_20150317_000836	I can't help that the supplies or backup is delayed. {nl}But tellin us to just wait is too much.
QUEST_LV_0200_20150317_000837	I'm afraid where the monsters will jump out from. {nl}I plan to run away if an unknown monster shows up.
QUEST_LV_0200_20150317_000838	We're making up for the lacking supplies. {nl}If the supplies don't arrive, we have to cover for it on site.
QUEST_LV_0200_20150317_000839	Somehow, at least sir Philipas' troops..
QUEST_LV_0200_20150317_000840	There was another way that we used before. {nl}But this happened when the gigantic tree suddenly emerged. {nl}
QUEST_LV_0200_20150317_000841	We're clearing up the route to make it easy for the supplies but.. {nl}As if the monsters causing us isolation is not enough, now there is no news of supplies and the soldiers are becoming weary.
QUEST_LV_0200_20150317_000842	I'll be grateful if you do that. {nl}If you release us from siege, it might even boost the troop's morales.
QUEST_LV_0200_20150317_000843	I want to drop everything down and just rest. {nl}But thinking of my men..
QUEST_LV_0200_20150317_000844	The monsters are swallowing my colleagues. {nl}This did not happen before the big tree in capital emerged..
QUEST_LV_0200_20150317_000845	Souls wandering around are increasing. {nl}So are the souls suddenly disappearing. It's too scary.
QUEST_LV_0200_20150317_000846	First, you have to find the Throneweaver that is hiding. {nl}Please gather Ridimed leaves. The Throneweaver loves it. {nl}{nl}
QUEST_LV_0200_20150317_000847	Good. {nl}First, defeat the Big Blue Grivas up the hills and put a damper on them.
QUEST_LV_0200_20150317_000848	I feel regretful. I can't close my eyes like this.
QUEST_LV_0200_20150317_000849	I have a request. Please save my colleagues. {nl}They will be eaten if we don't save them quickly.
QUEST_LV_0200_20150317_000850	There is a monster's nest at the end of this road. {nl}My colleagues may still be alive there.
QUEST_LV_0200_20150317_000851	Thank you. {nl}My colleagues were taken to the nest at the end of the road.
QUEST_LV_0200_20150317_000852	I can't feel the owl that guided the souls in Ishari Crossroad. {nl}I'm worried that it may have been attacked by the monsters.
QUEST_LV_0200_20150317_000853	I hope nothing happened to it..
QUEST_LV_0200_20150317_000854	Monsters' attacks are becoming stronger and there is no news from the troops that went out. {nl}This is not good.
QUEST_LV_0200_20150317_000855	Thank you. {nl}I thought I will sleep forever like this. {nl}
QUEST_LV_0200_20150317_000856	It's confusing. {nl}There seems to be something with Lydia Schaffen and Ruklys.. but they're still traitors, right?
QUEST_LV_0200_20150317_000857	Can't read because it's broken.
QUEST_LV_0200_20150317_000858	We are after an unknown monster. {nl}I hope it's not Deadborn but I feel like it is. Can you help us?
QUEST_LV_0200_20150317_000859	That's weird. I think I saw a Deadborn.. {nl}What do you think?
QUEST_LV_0200_20150317_000860	Dear Revelator, please lend us your strength! {nl}We're fighting against Salister and us alone is not enough.
QUEST_LV_0200_20150317_000861	You're great as expected! Commander Vacenin wants to meet you. Go to the camp quickly.
QUEST_LV_0200_20150317_000862	Soldier Rudolpas
QUEST_LV_0200_20150317_000863	Even if you're the Revelator, this place is too dangerous. {nl}Please go to a safe area.
QUEST_LV_0200_20150317_000864	What did I tell you. {nl}Thanks for your help but return quickly.
QUEST_LV_0200_20150317_000865	Soldier Aspas
QUEST_LV_0200_20150317_000866	I was careless. {nl}It would be big trouble if the monsters attacked.
QUEST_LV_0200_20150317_000867	You saved me. {nl}Do you know what happened to my colleagues?
QUEST_LV_0200_20150317_000868	Merlich swallowed Dominic's engagement ring. {nl}I did lose it but that's too much.
QUEST_LV_0200_20150317_000869	This place is too dangerous for residents to go around. {nl}Go to a safe area.
QUEST_LV_0200_20150317_000870	I understand that you are strong but it's dangerous to go around alone here.
QUEST_LV_0200_20150317_000871	I could have supported Oruk and the troops if only I was not injured..
QUEST_LV_0200_20150317_000872	This place is dangerous. {nl}Even with the Ironbaums, I have not seen such a violent monster before.
QUEST_LV_0200_20150317_000873	There are still many who have not yet returned. {nl}Do we have to go through all these dangers to make way to the Gorge area..
QUEST_LV_0200_20150317_000874	I'm safe thanks to my colleagues. {nl}I did not think we could defeat Ironbaum.
QUEST_LV_0200_20150317_000875	Soul of Bishop Aurelius
QUEST_LV_0200_20150317_000876	Revelator.. It was a long time. {nl}I have awaited centuries to guide you. {nl}
QUEST_LV_0200_20150317_000877	The Cathedral is a legacy of the first Bishop Mayvern and a sanctuary with a revelation. {nl}But I can't leave this place. {nl}I can't proceed the holy mission like this.
QUEST_LV_0200_20150317_000878	It is worth the long wait. {nl}Although my body is like this, I can't handle the overflowing emotions.
QUEST_LV_0200_20150317_000879	This will be enough.
QUEST_LV_0200_20150317_000880	I think the scripture will be good to hold the essence of souls. {nl}Unfortunately , it's on the floor of Pamaldu. {nl}
QUEST_LV_0200_20150317_000881	Although I'm just a soul, I have offered myself to the Goddess. {nl}I want to be placed in the scripture.
QUEST_LV_0200_20150317_000882	Are you done with the ritual? {nl}Check if this scripture can call it right.
QUEST_LV_0200_20150317_000883	Great. {nl}Now you have to solve the secret of the Cathedral and get the revelation. {nl}
QUEST_LV_0200_20150317_000884	Of course, hardships will follow. {nl}The burden of holy mission will push down your shoulders. {nl}
QUEST_LV_0200_20150317_000885	But only you and the Goddess can save this world..{nl}I wanted to guide you even if I had to turn this way.
QUEST_LV_0200_20150317_000886	Don't worry. You just have to finish the bowl to hold me. {nl}First, gather the Essence of Soul. {nl}
QUEST_LV_0200_20150317_000887	Oh, the bowl should be finished in safety altar. {nl}I have spent centuries without a body so I hope you get a decent scripture.
QUEST_LV_0200_20150317_000888	It's simple. {nl}Use the scripture of soul in your inventory.
QUEST_LV_0200_20150317_000889	Cleric
QUEST_LV_0200_20150317_000890	The Cathedral is like a repository of knowledge. {nl}Of course, it also means that we can find how to release the curse of Naktis.
QUEST_LV_0200_20150317_000891	I'm roughly done studying this area but we need the reports of clerics from other areas. {nl}If you meet other clerics in the Cathedral, can you get the reports to me?
QUEST_LV_0200_20150317_000892	If we get the reports, even Naktis' curse will just be a mere spell. {nl}Yup, that's right. Great work. {nl}
QUEST_LV_0200_20150317_000893	Isn't it scary in here? {nl}Even the owl statue feels gloomy..
QUEST_LV_0200_20150317_000894	I've heard about sightings of souls with resentment. {nl}If it's true.. Uhh, you're not one of them, are you?
QUEST_LV_0200_20150317_000895	Grave guard Romas
QUEST_LV_0200_20150317_000896	Being a Revelator doesn't mean that you can roam around freely tomorrow as you do today.
QUEST_LV_0200_20150317_000897	Every Revelator who said that they were different never really made it long.
QUEST_LV_0200_20150317_000898	This is no place for civilians to pass by and it won't happen anytime soon. {nl}It's too dangerous.
QUEST_LV_0200_20150317_000899	My colleagues are still inside. {nl}It's frustrating because there's no way to know what happened to them.
QUEST_LV_0200_20150317_000900	I can't forgive them for making the tower such a mess.
QUEST_LV_0200_20150317_000901	You better watch out. {nl}Why do you think even the wizards ran away?
QUEST_LV_0200_20150317_000902	We can help Goddess Gabija if we have the Prominence Jewel.
QUEST_LV_0200_20150317_000903	Now that the trasport magic circle is destroyed, we have to go head to head.
QUEST_LV_0200_20150317_000904	I think I can remember something.. But first, it's important to go to the Goddess.
QUEST_LV_0200_20150317_000905	Uhg, my head aches.. {nl}Maybe it's because of the crazy old man a while ago..
QUEST_LV_0200_20150317_000906	This is endless. I want to just burn it all.
QUEST_LV_0200_20150317_000907	I will make them pay for doing this to our tower!
QUEST_LV_0200_20150317_000908	I can't stay down like this when you've helped so much.
QUEST_LV_0200_20150317_000909	Even if the odds are against you, you can flip the situation if you make the perfect formation. {nl}But it will all be useless if you enjoy solitude.
QUEST_LV_0200_20150317_000910	They're all dead or ran away. {nl}I guess I'm the only one left in this floor. Those cowards.
QUEST_LV_0200_20150317_000911	It's a big mistake to look down at Corsairs at ground battle. {nl}As long as there is place to set foot, I am unbeatable.
QUEST_LV_0200_20150317_000912	Eternity.. Look at Tesla. {nl}You don't think that there is no agedness in eternal life, do you?
QUEST_LV_0200_20150317_000913	Don't compare me to the old men who carve owls out of mere tree logs. {nl}I always use the best materials.
QUEST_LV_0200_20150317_000914	Supply Troop
QUEST_LV_0200_20150317_000915	I don't know about the frontline but it makes no sense to complain to rearguard units. {nl}The rearguards should do well for supplies to make through.
QUEST_LV_0200_20150317_000916	I can't even count how many monsters I had to fight on my way here. {nl}
QUEST_LV_0200_20150317_000917	Being in the battle for so long, I even wonder if there really was a Goddess. {nl}I wonder if this is a dream, or whether we can wake up from it.
QUEST_LV_0200_20150317_000918	Even with the escort troops protecting us, I almost got myself killed twice.
QUEST_LV_0200_20150317_000919	The supply troops are safer compared to other troops. {nl}But they do a lot more manual labor so people do avoid it.
QUEST_LV_0200_20150317_000920	The longer the battle goes on, the more soldiers are running away. {nl}It's really frustrating.
QUEST_LV_0200_20150317_000921	I understand that leaving the supplies and running away means not accomplishing the mission. {nl}But you need to be alive to deliver the supplies, don't you?
QUEST_LV_0200_20150317_000922	Cathedral 启示录
QUEST_LV_0200_20150317_000923	If this revelation reaches, then it would mean that Mayvern did a good job to accomplish his mission. {nl}I would like to tell about the the principle of another world.
QUEST_LV_0200_20150317_000924	There is another world beyond the world that you live in. {nl}You cannot cross both worlds unless you have supreme powers. {nl}At least, that was before the Divine Tree emerged. {nl}
QUEST_LV_0200_20150317_000925	The disaster damaged and opened a gap on the barrier that divided the two worlds. {nl}And the demons freely crossed worlds through the gap. {nl}
QUEST_LV_0200_20150317_000926	The gaps are scattered in many places. {nl}But the biggest problem would be the one in Velnias Prison where the most dangerous demons are imprisoned.
QUEST_LV_0200_20150317_000927	If the demons join the ones from Velnias prison through the gap.. {nl}It will be another threat to this world. {nl}
QUEST_LV_0200_20150317_000928	I have told Vakarine to prepare for it. {nl}But the uncertainty brought by the torn demons might catch up with her. {nl}
QUEST_LV_0200_20150317_000929	The gap, once opened, will continue to widen. {nl}Dear Savior, please help Vakarine as quickly as you can. {nl}{nl}
QUEST_LV_0200_20150317_000930	Bishop
QUEST_LV_0200_20150317_000931	You've arrived. Mayvern's device is in here. You need to step on both footsteps to release the device.
QUEST_LV_0200_20150317_000932	Whew, this is endless. {nl}I don't know how much longer I can take it.
QUEST_LV_0200_20150317_000933	We need to stand up again. {nl}Your help gave me the strength to defeat the monster.
QUEST_LV_0200_20150317_000934	Dying Message of the Pilgrim
QUEST_LV_0200_20150317_000935	Most of the Tree Root Crystals in Ray-lit Land are rotten. {nl}It curses, decomposes, and turns into monsters. {nl}It must be destroyed before more disasters strike.
QUEST_LV_0200_20150317_000936	{nl}I don't know who will read this note. {nl}Some Tree Root Crystals have inserted it's core in monsters. {nl}You can destroy at least a pillar if you bring the monster and see it's reaction to the pillar.
QUEST_LV_0200_20150317_000937	Good job. {nl}You just have to keep it up.. {nl}
QUEST_LV_0200_20150317_000938	About the second secret.{nl}Unfortunately, the demons of Naktis made their move first. {nl}
QUEST_LV_0200_20150317_000939	I'm relieved we got it back. {nl}I finally get to see the holy relic after death. {nl}
QUEST_LV_0200_20150317_000940	Bring that holy relic to the small hall and place it on top of the altar. {nl}You'll be able to get the first key of Maybern.
QUEST_LV_0200_20150317_000941	I am studying how to release the curse of Naktis. {nl}Can you get me some monster samples for the poor people who are under the curse of monsters?
QUEST_LV_0200_20150317_000942	It would have been nice if the Church sent us enough people. {nl}Oh, I better test the samples you brought.
QUEST_LV_0200_20150317_000943	Oh no, that's a bland reaction. {nl}I'm sure each curse has it's characteristic but it's like it has one key..{nl}
QUEST_LV_0200_20150317_000944	I think I need to test again rather than just imagining it. {nl}I'm sorry but can you get me a different monster sample this time?
QUEST_LV_0200_20150317_000945	I thought I just had to match the properties of the monster but it seems like the opposite. {nl}Naktis.. What could be moving that demon?
QUEST_LV_0200_20150317_000946	Oh, I heard from Titas but I didn't think that's you. I feel reassured. {nl}Well then, please support the monster extermination mission.
QUEST_LV_0200_20150317_000947	Other clerics are in Grand Corridor, Penitence Route, and Sanctuary. {nl}Research is important but I hope they are safe. {nl}{nl}If you see the other clerics, please send them my regards. {nl}They are in dangerous places.
QUEST_LV_0200_20150317_000948	Cleric Inea
QUEST_LV_0200_20150317_000949	Why is the Goddess leaving those blasphemous monsters alone.. {nl}Is this also the will of the Goddess?
QUEST_LV_0200_20150317_000950	It's not easy to get samples. {nl}There is not enough for research too.
QUEST_LV_0200_20150317_000951	Ah, there was definitely a reaction this time. {nl}I would have had a hard time if it wasn't for your help. Thank you!
QUEST_LV_0200_20150317_000952	We need to take care of it before it reaches Naktis. {nl}Please defeat the demons and find the holy relic of salvation.
QUEST_LV_0200_20150317_000953	Cleric of Testification
QUEST_LV_0200_20150317_000954	Did you find the herbs?
QUEST_LV_0200_20150317_000955	Give me the herbs.
QUEST_LV_0200_20150317_000956	I need herbs to make the medicine.
QUEST_LV_0200_20150317_000957	Completed preparing medicine.
QUEST_LV_0200_20150317_000958	You need to get all of Mayvern's keys first. {nl}And you need to solve a lot of secrets to get the key.
QUEST_LV_0200_20150317_000959	Unfortunately, it is Mayvern's will that you solve the secret by yourself. {nl}First, go to the platform in Memile oratorium to solve the first secret and get the holy relice of mercy.
QUEST_LV_0200_20150317_000960	Writings on the platform
QUEST_LV_0200_20150317_000961	Remember the holy number with your two eyes. {nl}The light of candle drives away the evil dark.
QUEST_LV_0200_20150317_000962	You must thoroughly check the writings on the altar. {nl}Well then, I will.. wait in the Grand Hall.
QUEST_LV_0200_20150317_000963	You must have seen the recruitment notice. {nl}It's true that we lack military manpower.
QUEST_LV_0200_20150317_000964	The person in charge of the mission in Soul Peak is Julian. {nl}He will probably welcome you with open arms.
QUEST_LV_0200_20150317_000965	That was great. You were of great help to this mission. {nl}What do you think about enlisting to the army?
QUEST_LV_0200_20150317_000966	Can that thing even be broken? {nl}What the.. I'm at a loss for words to say. {nl}
QUEST_LV_0200_20150317_000967	But you have to pay for damaging public facilities. {nl}Sorry but you have to fix the wooden seal.
QUEST_LV_0200_20150317_000968	Thank you for saying that. {nl}I guess it is better to support Julian's troops in Soul Peak than here.
QUEST_LV_0200_20150317_000969	I'm planning to exterminate the monsters interfering the route to Gorge Area.
QUEST_LV_0200_20150317_000970	I heard the Pirent Wood in Jade Filled Cliff is solid and elastic. {nl}You can get ropes to tie those from the Red Panto Spearmans. Get me those first.
QUEST_LV_0200_20150317_000971	Young Man Daren
QUEST_LV_0200_20150317_000972	Are you the one sent by Jozef of 克拉佩达? {nl}Well even if you aren't, please help our village. {nl}
QUEST_LV_0200_20150317_000973	They were fine even on the Day of Divine Tree but the bees turned to monsters on that day. {nl}Other bee farms have already become a mess and I'm worried how our bee farm is doing.
QUEST_LV_0200_20150317_000974	Our town lives on bee farming and mead. {nl}Goddess Austeja looks after us so we're better off than other villages.
QUEST_LV_0200_20150317_000975	But the bees that were normal even during the Day of Divine Tree suddenly turned to monsters. {nl}Then Goddess Austeja soon disappeared and the clerics just keep telling us to wait.. {nl}It just keeps getting more frustrating.
QUEST_LV_0200_20150317_000976	Really?{nl}Other Revelators just ignored us.. {nl}It's the Rodonon Bee Farm just down the road. Thank you.
QUEST_LV_0200_20150317_000977	I hope nothing happened. {nl}It had a lot of effort put in it. We can't just lose it.
QUEST_LV_0200_20150317_000978	The bee farm is alright? What a relief. {nl}I better think of a way to protect the bee farm quickly.
QUEST_LV_0200_20150317_000979	The monsters from other forests are also a problem in addition to the bees. {nl}I'm sure they are preying on honey.
QUEST_LV_0200_20150317_000980	Oh, what about this? {nl}We'll fool the mosnters with empty beehives. {nl}How will the monsters prey on the beefarm if there is no honey?
QUEST_LV_0200_20150317_000981	When was it. I think it was around the same time the bees turned to monsters. {nl}A huge flock of monsters marched into our village. I've never seen that many monsters before. {nl}
QUEST_LV_0200_20150317_000982	At first, they only gathered around Swaying Arable Land and 春日树树林. {nl}But it wasn't long before they moved onto here. {nl}I'm sure they are aiming for the honey.
QUEST_LV_0200_20150317_000983	The monsters that smell sweet must have empty beehives. {nl}We better pray that Goddess Austeja help us.
QUEST_LV_0200_20150317_000984	You brought it! {nl}I hope this will be enough to fool them.
QUEST_LV_0200_20150317_000985	By the way, I'm worried about mister Dorjen. {nl}He's about to explode because of the monsters that's ruining his fortune. {nl}
QUEST_LV_0200_20150317_000986	I think he is planning to burn the whole forest.. {nl}He just won't listen to us. Can you stop him?
